member_id,join_date,gender,age,fitness_goal,sign_up_method,fitness_activity,fitness_level
29,2025-11-24,Female,27,Increase strength,In-person,Martial Arts,Advanced
30,2025-02-09,Male,31,Improve endurance,Referral,Boxing,Intermediate
31,2025-10-05,Male,27,Lose weight,Referral,Gym,Intermediate
32,2025-05-08,Male,52,Support mental health,Online,Functional Training,Intermediate
33,2025-11-19,Male,33,Improve endurance,Online,Bootcamp,Beginner
34,2025-05-19,Male,23,Lose weight,Online,Spin,Beginner
35,2025-03-31,Female,42,Support mental health,Promo event,Gym,Intermediate
36,2024-05-08,Male,21,Improve mobility,Online,Functional Training,Intermediate
37,2025-01-01,Female,36,Improve mobility,Online,Yoga,Beginner
38,2025-04-14,Male,16,Boost energy,In-person,Rowing Studio,Intermediate
39,2025-06-01,Male,20,Improve flexibility,In-person,Boxing,Intermediate
40,2025-04-30,Male,35,Lose weight,Promo event,Gym,Beginner
41,2024-12-26,Female,41,Lose weight,Online,Gym,Beginner
42,2025-12-11,Male,35,Improve endurance,Online,Boxing,Beginner
43,2025-08-04,Male,32,Improve flexibility,Promo event,Gym,Intermediate
44,2024-08-13,Male,30,Reduce stress,Referral,Gym,Beginner
45,2025-03-22,Female,19,Lose weight,Social media,Functional Training,Intermediate
46,2024-03-21,Male,26,Reduce stress,Online,Yoga,Beginner
47,2025-11-02,Male,29,Lose weight,Social media,HIIT,Beginner
48,2024-12-26,Female,44,Increase strength,Online,Pilates,Beginner
49,2025-05-02,Male,37,Increase strength,Social media,Pilates,Intermediate
50,2024-02-23,Male,16,Improve mobility,Referral,Gym,Beginner
51,2024-03-27,Male,37,Improve endurance,Online,Strength Training,Intermediate
52,2024-05-20,Male,30,Build muscle,Online,Strength Training,Beginner
53,2025-01-08,Female,27,Boost energy,Online,Pilates,Beginner
54,2024-06-14,Female,40,Improve mobility,Corporate,Gym,Beginner
55,2025-04-06,Male,44,Get back in shape,Social media,Pilates,Beginner
56,2025-04-25,Male,43,Reduce stress,In-person,Gym,Beginner
57,2024-01-17,Female,25,Improve flexibility,Referral,Boxing,Beginner
58,2025-01-17,Male,30,Build muscle,In-person,Strength Training,Beginner
59,2024-03-05,Male,37,Boost energy,Social media,Gym,Beginner
60,2025-01-11,Female,43,Reduce stress,Online,Pilates,Advanced
61,2024-10-29,Male,29,Improve endurance,Referral,Pilates,Intermediate
62,2024-05-26,Female,32,Get back in shape,Referral,Pilates,Beginner
63,2024-04-26,Male,22,Lose weight,Online,Spin,Advanced
64,2024-11-23,Male,22,Boost energy,Referral,CrossFit,Beginner
65,2025-07-18,Male,42,Lose weight,Promo event,Gym,Beginner
66,2024-05-12,Male,47,Reduce stress,Social media,Gym,Beginner
67,2025-05-29,Female,33,Boost energy,Referral,HIIT,Beginner
68,2025-10-04,Male,44,Increase strength,Referral,Kickboxing,Beginner
69,2025-01-14,Female,37,Increase strength,In-person,Kickboxing,Beginner
70,2025-04-23,Female,27,Increase strength,Online,Gym,Advanced
71,2025-02-16,Male,37,Reduce stress,Online,CrossFit,Beginner
72,2024-07-22,Female,49,Improve flexibility,Online,Gym,Beginner
73,2025-05-16,Female,33,Boost energy,Online,Strength Training,Beginner
74,2025-06-20,Female,49,Improve flexibility,Referral,Functional Training,Beginner
75,2025-06-15,Female,16,Build muscle,Online,Bootcamp,Beginner
76,2024-10-31,Female,42,Improve mobility,Referral,Boxing,Beginner
77,2024-03-21,Male,34,Improve endurance,Online,Kickboxing,Beginner
78,2024-04-12,Female,31,Boost energy,In-person,Dance Fitness,Advanced
79,2024-02-08,Male,34,Get back in shape,In-person,Barre,Beginner
80,2025-06-20,Male,16,Increase strength,Social media,Functional Training,Beginner
81,2025-06-11,Male,31,Improve endurance,Online,Gym,Advanced
82,2025-12-03,Male,37,Increase strength,Promo event,Boxing,Beginner
83,2024-08-11,Female,48,Train for an event,Referral,HIIT,Intermediate
84,2025-05-15,Female,28,Lose weight,Online,Strength Training,Beginner
85,2024-03-11,Female,25,Improve overall health,Online,Kickboxing,Beginner
86,2024-05-01,Female,28,Build muscle,Referral,Spin,Intermediate
87,2025-11-07,Female,43,Reduce stress,Corporate,Barre,Beginner
88,2025-08-12,Male,37,Improve endurance,Referral,Bootcamp,Beginner
89,2025-11-18,Female,28,Reduce stress,Online,Boxing,Beginner
90,2024-12-04,Male,39,Boost energy,Social media,Functional Training,Beginner
91,2024-01-16,Male,34,Build muscle,Online,Zumba,Intermediate
92,2026-01-09,Male,43,Increase strength,Promo event,Swimming,Beginner
93,2025-12-02,Female,26,Improve endurance,Corporate,Spin,Intermediate
94,2024-02-19,Male,30,Train for an event,Online,Functional Training,Beginner
95,2025-12-15,Male,30,Boost energy,Corporate,Swimming,Beginner
96,2025-10-31,Male,19,Improve overall health,Referral,Gym,Beginner
97,2025-12-09,Male,36,Get back in shape,Online,Gym,Beginner
98,2025-02-02,Female,36,Boost energy,Referral,Yoga,Intermediate
99,2025-04-06,Female,,Increase strength,Online,Rock Climbing,Beginner
100,2024-11-11,Male,31,Reduce stress,Corporate,Gym,Beginner
101,2024-09-05,Male,19,Improve flexibility,In-person,Yoga,Beginner
102,2025-02-09,Female,29,Improve endurance,Referral,Strength Training,Beginner
103,2025-08-12,Male,30,Improve mobility,Online,Kickboxing,Intermediate
104,2025-02-22,Female,25,Boost energy,In-person,Kickboxing,Beginner
105,2025-08-31,Male,32,Improve flexibility,In-person,Zumba,Intermediate
106,2024-08-14,Female,38,Reduce stress,Online,Strength Training,Intermediate
107,2025-03-24,Male,52,Train for an event,Online,Gym,Beginner
108,2024-07-09,Female,35,Boost energy,Online,Gym,Intermediate
109,2025-05-16,Male,36,Increase strength,Referral,HIIT,Intermediate
110,2025-06-07,Female,33,Reduce stress,Referral,CrossFit,Beginner
111,2025-01-28,Male,16,Support mental health,Online,Spin,Intermediate
112,2024-04-25,Female,33,Improve flexibility,Online,CrossFit,Advanced
113,2024-04-30,Male,34,Improve mobility,Online,Strength Training,Intermediate
114,2024-09-30,Male,58,Support mental health,Online,Barre,Intermediate
115,2025-10-09,Female,32,Improve endurance,Online,Pilates,Intermediate
116,2025-07-01,Female,37,Reduce stress,Social media,Strength Training,Beginner
117,2025-04-12,Female,33,Lose weight,Social media,Gym,Intermediate
118,2025-11-02,Male,22,Lose weight,In-person,Kickboxing,Beginner
119,2024-05-20,Male,45,Reduce stress,Promo event,Functional Training,Intermediate
120,2024-05-06,Male,41,Improve flexibility,Online,Dance Fitness,Beginner
121,2024-10-29,Male,41,Boost energy,Corporate,Strength Training,Beginner
122,2024-03-15,Female,24,Lose weight,In-person,Kickboxing,Beginner
123,2024-06-08,Female,48,Increase strength,Online,HIIT,Intermediate
124,2025-12-25,Male,19,Lose weight,In-person,Spin,Beginner
125,2025-10-04,Female,39,Lose weight,Online,Yoga,Beginner
126,2024-02-06,Female,55,Increase strength,Social media,Zumba,Beginner
127,2024-10-16,Female,24,Improve mobility,Online,Gym,Beginner
128,2024-01-25,Male,28,Build muscle,Online,Functional Training,Intermediate
129,2025-06-16,Male,34,Reduce stress,Promo event,Pilates,Intermediate
130,2025-04-08,Female,28,Improve endurance,In-person,Gym,Intermediate
131,2025-12-14,Female,18,Improve flexibility,Online,Functional Training,Beginner
132,2024-05-04,Male,34,Lose weight,Promo event,Cycling Studio,Beginner
133,2024-05-05,Male,23,Lose weight,Online,Gym,Intermediate
134,2025-07-17,Female,38,Increase strength,In-person,Yoga,Beginner
135,2024-11-22,Female,24,Improve flexibility,In-person,Strength Training,Beginner
136,2025-02-01,Male,49,Improve endurance,Promo event,Functional Training,Beginner
137,2024-02-08,Female,26,Lose weight,Online,Kickboxing,Beginner
138,2025-02-09,Female,30,Improve flexibility,Online,Yoga,Advanced
139,2024-10-28,Female,42,Lose weight,Referral,Martial Arts,Advanced
140,2024-06-20,Female,21,Improve flexibility,Social media,Strength Training,Intermediate
141,2025-01-19,Male,36,Lose weight,Online,Functional Training,Intermediate
142,2025-08-31,Female,47,Improve overall health,Promo event,Boxing,Beginner
143,2025-07-16,Male,17,Get back in shape,In-person,Yoga,Beginner
144,2025-01-31,Male,35,Build muscle,Promo event,Yoga,Beginner
145,2025-06-19,Male,36,Reduce stress,Referral,Functional Training,Beginner
146,2024-08-04,Male,41,Improve mobility,In-person,Pilates,Advanced
147,2025-12-18,Female,21,Improve flexibility,Online,Pilates,Beginner
148,2024-02-08,Female,20,Build muscle,Online,HIIT,Intermediate
149,2024-08-21,Female,39,Lose weight,Social media,Pilates,Intermediate
150,2024-05-18,Female,36,Improve mobility,Online,CrossFit,Beginner
151,2025-04-01,Male,36,Build muscle,Promo event,HIIT,Beginner
152,2024-01-21,Male,37,Get back in shape,Social media,Bootcamp,Beginner
153,2025-06-17,Female,27,Get back in shape,Online,Gym,Beginner
154,2024-11-01,Female,36,Build muscle,Online,Kickboxing,Beginner
155,2026-01-13,Female,36,Boost energy,Referral,Bootcamp,Beginner
156,2025-11-01,Female,26,Lose weight,Online,Zumba,Beginner
157,2024-11-01,Female,52,Reduce stress,Promo event,Gym,Advanced
158,2024-06-21,Male,38,Improve flexibility,Unspecified,Strength Training,Intermediate
159,2024-08-19,Female,22,Boost energy,Online,Gym,Beginner
160,2025-02-17,Male,40,Lose weight,Online,Cycling Studio,Beginner
161,2024-04-28,Male,24,Reduce stress,Online,CrossFit,Beginner
162,2024-04-18,Male,41,Increase strength,Referral,Strength Training,Intermediate
163,2024-04-02,Female,45,Improve mobility,In-person,Zumba,Advanced
164,2024-01-10,Female,25,Get back in shape,Referral,Gym,Beginner
165,2024-04-25,Female,43,Lose weight,Referral,Cycling Studio,Intermediate
166,2025-02-25,Female,38,Reduce stress,In-person,Bootcamp,Beginner
167,2025-10-18,Male,42,Reduce stress,Promo event,CrossFit,Advanced
168,2024-08-28,Male,52,Lose weight,Online,CrossFit,Beginner
169,2025-04-12,Female,31,Support mental health,Online,Gym,Beginner
170,2025-12-19,Female,26,Lose weight,Promo event,Spin,Intermediate
171,2024-05-06,Male,25,Improve mobility,Online,Bootcamp,Advanced
172,2025-09-06,Male,25,Improve flexibility,Online,Barre,Beginner
173,2025-07-20,Female,33,Improve flexibility,Online,HIIT,Beginner
174,2025-06-30,Male,37,Improve endurance,Promo event,Strength Training,Beginner
175,2024-04-14,Male,36,Improve flexibility,Referral,CrossFit,Beginner
176,2024-07-26,Male,42,Improve flexibility,Corporate,Functional Training,Intermediate
177,2025-01-21,Female,34,Lose weight,Online,Kickboxing,Beginner
178,2024-11-21,Male,48,Increase strength,Social media,Spin,Intermediate
179,2024-04-27,Female,31,Boost energy,Online,Swimming,Intermediate
180,2024-02-14,Female,61,Improve endurance,Referral,Yoga,Beginner
181,2025-03-21,Female,40,Boost energy,Social media,Zumba,Beginner
182,2025-07-01,Male,25,Lose weight,Referral,Gym,Intermediate
183,2025-02-04,Male,23,Improve mobility,Promo event,Kickboxing,Intermediate
184,2026-01-13,Female,38,Improve endurance,Online,Bootcamp,Beginner
185,2024-04-10,Female,31,Build muscle,Referral,Martial Arts,Beginner
186,2024-11-16,Male,41,Build muscle,Online,Zumba,Beginner
187,2024-09-26,Male,38,Train for an event,Referral,Zumba,Intermediate
188,2025-08-26,Female,33,Train for an event,Online,Pilates,Beginner
189,2025-05-10,Male,25,Support mental health,In-person,Zumba,Beginner
190,2024-09-26,Male,18,Unspecified,Referral,Yoga,Beginner
191,2024-08-23,Female,29,Lose weight,Referral,Gym,Beginner
192,2024-06-13,Female,42,Lose weight,Online,Barre,Beginner
193,2024-08-12,Female,36,Get back in shape,Referral,Strength Training,Intermediate
194,2024-06-02,Female,21,Improve flexibility,In-person,Barre,Intermediate
195,2025-05-08,Male,35,Improve mobility,Online,HIIT,Intermediate
196,2024-04-30,Male,37,Increase strength,Online,Gym,Intermediate
197,2025-07-26,Male,25,Increase strength,Online,Kickboxing,Beginner
198,2024-06-13,Male,35,Reduce stress,Referral,Strength Training,Intermediate
199,2024-06-28,Male,34,Boost energy,Online,Gym,Intermediate
200,2025-02-19,Female,22,Improve flexibility,Online,Zumba,Beginner
201,2024-03-15,Female,37,Increase strength,Online,Gym,Beginner
202,2024-09-21,Female,39,Lose weight,Referral,Rowing Studio,Intermediate
203,2024-10-02,Female,,Build muscle,Corporate,Rock Climbing,Beginner
204,2025-07-08,Non-Binary,44,Support mental health,Promo event,Yoga,Beginner
205,2024-12-21,Male,20,Reduce stress,Referral,Gym,Advanced
206,2025-03-10,Non-Binary,24,Build muscle,Referral,Yoga,Intermediate
207,2024-06-29,Male,39,Reduce stress,In-person,Barre,Intermediate
208,2025-01-03,Male,39,Improve flexibility,Social media,Kickboxing,Beginner
209,2024-10-20,Male,39,Increase strength,Social media,Functional Training,Intermediate
210,2025-01-06,Male,72,Train for an event,Online,Pilates,Beginner
211,2024-03-26,Female,39,Lose weight,Referral,Gym,Advanced
212,2025-07-15,Female,45,Reduce stress,Social media,Boxing,Beginner
213,2024-01-01,Female,43,Increase strength,Corporate,Gym,Beginner
214,2026-01-02,Female,40,Train for an event,Online,Yoga,Beginner
215,2025-09-24,Non-Binary,30,Reduce stress,Referral,Spin,Beginner
216,2025-04-19,Female,41,Boost energy,In-person,Gym,Intermediate
217,2025-04-16,Male,26,Train for an event,In-person,Bootcamp,Beginner
218,2024-08-29,Female,31,Improve flexibility,Online,Gym,Beginner
219,2024-03-02,Female,29,Lose weight,Referral,Boxing,Intermediate
220,2024-10-28,Male,34,Increase strength,Online,CrossFit,Beginner
221,2024-01-20,Male,57,Improve flexibility,Online,HIIT,Beginner
222,2024-07-01,Female,16,Get back in shape,Online,Spin,Beginner
223,2025-10-16,Male,40,Lose weight,Referral,Rock Climbing,Beginner
224,2024-09-11,Female,17,Improve flexibility,Social media,CrossFit,Intermediate
225,2024-11-18,Male,29,Unspecified,Social media,Functional Training,Beginner
226,2024-01-17,Female,44,Increase strength,Social media,Kickboxing,Beginner
227,2025-08-19,Male,34,Build muscle,Online,Kickboxing,Intermediate
228,2024-02-27,Female,23,Support mental health,Online,Barre,Beginner
229,2024-06-05,Male,26,Lose weight,Corporate,Yoga,Beginner
230,2024-05-18,Female,40,Increase strength,Online,Yoga,Intermediate
231,2024-11-08,Female,26,Build muscle,Online,Strength Training,Intermediate
232,2024-12-17,Female,36,Boost energy,In-person,Pilates,Beginner
233,2024-07-24,Male,34,Improve mobility,Referral,Gym,Intermediate
234,2024-07-22,Female,27,Increase strength,Online,Rock Climbing,Beginner
235,2024-01-31,Male,55,Support mental health,Social media,Kickboxing,Beginner
236,2025-10-30,Female,40,Lose weight,Referral,Strength Training,Intermediate
237,2024-05-29,Male,16,Train for an event,Corporate,Barre,Beginner
238,2024-08-25,Female,35,Build muscle,In-person,Gym,Intermediate
239,2025-11-18,Male,27,Improve overall health,Corporate,Gym,Advanced
240,2025-06-21,Male,42,Boost energy,Referral,Gym,Beginner
241,2024-10-19,Female,26,Increase strength,Online,HIIT,Beginner
242,2025-12-30,Male,32,Get back in shape,Promo event,Gym,Beginner
243,2024-02-14,Male,39,Train for an event,Social media,CrossFit,Intermediate
244,2025-04-14,Male,42,Increase strength,Online,Strength Training,Intermediate
245,2024-05-28,Female,21,Get back in shape,Referral,Functional Training,Beginner
246,2024-11-02,Male,30,Improve endurance,Promo event,Strength Training,Intermediate
247,2026-01-11,Male,29,Boost energy,Social media,Cycling Studio,Beginner
248,2024-01-02,Female,27,Lose weight,Online,Strength Training,Intermediate
249,2024-04-26,Male,51,Boost energy,Online,Zumba,Intermediate
250,2025-02-27,Male,38,Support mental health,In-person,Spin,Intermediate
251,2025-02-02,Male,21,Build muscle,In-person,Strength Training,Beginner
252,2025-06-02,Female,43,Lose weight,Online,Spin,Beginner
253,2024-01-05,Female,55,Improve endurance,In-person,Functional Training,Intermediate
254,2024-06-01,Non-Binary,44,Build muscle,In-person,Martial Arts,Intermediate
255,2024-02-21,Female,18,Lose weight,In-person,Pilates,Beginner
256,2025-12-16,Male,29,Increase strength,Online,Boxing,Intermediate
257,2024-12-25,Female,46,Increase strength,Promo event,Kickboxing,Beginner
258,2024-03-08,Female,26,Improve endurance,Promo event,HIIT,Intermediate
259,2025-02-19,Male,38,Lose weight,In-person,Strength Training,Intermediate
260,2024-07-29,Female,41,Boost energy,Online,CrossFit,Advanced
261,2025-01-02,Male,24,Lose weight,Online,Gym,Beginner
262,2024-05-08,Female,33,Lose weight,In-person,Gym,Intermediate
263,2024-12-29,Male,16,Build muscle,Online,Gym,Beginner
264,2024-10-13,Female,23,Increase strength,In-person,Barre,Beginner
265,2025-03-07,Male,31,Improve endurance,Social media,Kickboxing,Beginner
266,2024-03-19,Female,21,Get back in shape,Online,Gym,Beginner
267,2024-05-28,Female,50,Improve flexibility,Promo event,Functional Training,Intermediate
268,2025-06-29,Female,19,Build muscle,Referral,Yoga,Beginner
269,2024-10-06,Female,29,Improve endurance,Online,Gym,Intermediate
270,2024-04-16,Male,35,Boost energy,Online,Zumba,Beginner
271,2024-07-08,Male,48,Get back in shape,Referral,Kickboxing,Beginner
272,2024-09-28,Female,19,Build muscle,In-person,Dance Fitness,Beginner
273,2025-05-24,Male,45,Build muscle,Unspecified,Rock Climbing,Intermediate
274,2025-05-08,Female,34,Lose weight,Referral,Rowing Studio,Beginner
275,2024-11-02,Male,24,Boost energy,Promo event,HIIT,Beginner
276,2024-01-17,Male,38,Lose weight,In-person,Strength Training,Beginner
277,2024-02-16,Female,35,Build muscle,Referral,Gym,Intermediate
278,2025-11-25,Male,27,Reduce stress,In-person,Boxing,Beginner
279,2025-10-09,Female,34,Improve flexibility,Corporate,Gym,Beginner
280,2024-02-08,Female,30,Improve flexibility,Referral,HIIT,Beginner
281,2024-02-24,Male,35,Build muscle,Corporate,Boxing,Advanced
282,2024-01-30,Male,40,Increase strength,In-person,Barre,Intermediate
283,2025-03-22,Female,49,Build muscle,Social media,Pilates,Beginner
284,2025-09-10,Female,21,Build muscle,Corporate,Martial Arts,Advanced
285,2025-08-28,Female,55,Support mental health,Social media,Barre,Beginner
286,2024-08-11,Female,,Lose weight,Online,Bootcamp,Beginner
287,2025-10-04,Female,32,Lose weight,Promo event,Yoga,Beginner
288,2025-01-09,Male,39,Increase strength,In-person,Yoga,Intermediate
289,2024-09-30,Female,36,Increase strength,Online,Gym,Beginner
290,2025-04-13,Male,27,Lose weight,Online,Gym,Advanced
291,2024-01-22,Male,31,Improve endurance,In-person,Functional Training,Beginner
292,2024-09-23,Male,29,Build muscle,Online,Kickboxing,Intermediate
293,2025-08-11,Female,,Lose weight,Online,Gym,Intermediate
294,2025-07-13,Female,42,Improve overall health,Online,Boxing,Beginner
295,2025-02-15,Female,37,Improve flexibility,Online,Yoga,Beginner
296,2025-06-07,Male,27,Support mental health,Promo event,Yoga,Beginner
297,2025-03-10,Female,42,Train for an event,Online,Functional Training,Intermediate
298,2024-05-20,Female,37,Build muscle,Promo event,Kickboxing,Beginner
299,2024-07-02,Male,42,Increase strength,Referral,Kickboxing,Beginner
300,2024-06-15,Male,40,Improve flexibility,In-person,Pilates,Intermediate
301,2024-11-26,Male,25,Get back in shape,Promo event,Boxing,Beginner
302,2025-07-26,Male,28,Improve flexibility,Promo event,Spin,Beginner
303,2024-12-16,Female,41,Build muscle,Online,Zumba,Beginner
304,2025-06-09,Female,40,Improve flexibility,Online,Swimming,Beginner
305,2025-05-27,Male,33,Improve mobility,Referral,Spin,Beginner
306,2025-11-20,Female,35,Support mental health,Online,Yoga,Beginner
307,2025-09-06,Male,46,Train for an event,Referral,Functional Training,Beginner
308,2024-05-26,Female,28,Reduce stress,Referral,Dance Fitness,Intermediate
309,2025-10-21,Male,39,Support mental health,Online,Bootcamp,Advanced
310,2025-11-26,Female,31,Improve endurance,Online,HIIT,Intermediate
311,2025-04-05,Female,31,Improve endurance,Online,Pilates,Beginner
312,2024-06-09,Male,44,Increase strength,Online,Spin,Advanced
313,2025-02-25,Male,42,Improve endurance,Referral,Kickboxing,Intermediate
314,2024-11-20,Female,42,Reduce stress,Online,CrossFit,Intermediate
315,2024-10-21,Female,47,Improve endurance,Online,CrossFit,Intermediate
316,2025-11-10,Female,34,Increase strength,Online,Yoga,Intermediate
317,2025-03-20,Female,40,Support mental health,Referral,Gym,Beginner
318,2024-08-29,Male,30,Reduce stress,In-person,Gym,Beginner
319,2025-05-12,Male,37,Improve mobility,In-person,Barre,Beginner
320,2025-08-17,Female,32,Support mental health,Social media,Kickboxing,Intermediate
321,2025-08-26,Male,34,Lose weight,Referral,Boxing,Beginner
322,2024-02-25,Female,39,Boost energy,Corporate,Kickboxing,Intermediate
323,2024-08-29,Female,25,Improve endurance,Promo event,Gym,Beginner
324,2024-06-13,Male,54,Boost energy,Online,Yoga,Intermediate
325,2025-10-26,Female,23,Train for an event,Promo event,Boxing,Intermediate
326,2024-01-24,Male,21,Support mental health,Referral,HIIT,Advanced
327,2025-04-09,Male,45,Get back in shape,Online,Kickboxing,Beginner
328,2024-09-25,Female,41,Build muscle,Online,Kickboxing,Intermediate
329,2025-04-27,Non-Binary,40,Get back in shape,Social media,Rock Climbing,Advanced
330,2025-04-24,Female,40,Lose weight,Online,Spin,Beginner
331,2024-11-19,Female,33,Train for an event,Online,Martial Arts,Intermediate
332,2025-07-28,Female,25,Increase strength,Online,Functional Training,Intermediate
333,2024-03-19,Female,34,Build muscle,Online,Gym,Beginner
334,2024-12-03,Male,27,Support mental health,Referral,Martial Arts,Beginner
335,2025-02-12,Male,43,Lose weight,Promo event,Gym,Intermediate
336,2025-02-01,Female,32,Increase strength,Referral,Pilates,Intermediate
337,2025-03-23,Male,25,Lose weight,Corporate,Kickboxing,Advanced
338,2025-08-22,Female,30,Lose weight,Online,Gym,Intermediate
339,2024-07-08,Male,38,Lose weight,Social media,Kickboxing,Intermediate
340,2025-12-07,Female,28,Boost energy,Corporate,Gym,Beginner
341,2024-01-23,Male,25,Lose weight,Promo event,Zumba,Beginner
342,2024-10-24,Male,36,Lose weight,Online,Spin,Intermediate
343,2025-03-22,Male,36,Lose weight,Online,Gym,Beginner
344,2025-04-28,Female,28,Improve mobility,Promo event,HIIT,Beginner
345,2024-06-11,Female,29,Build muscle,Promo event,Spin,Intermediate
346,2024-04-16,Female,36,Boost energy,Social media,Pilates,Beginner
347,2025-03-28,Female,19,Train for an event,Online,Functional Training,Beginner
348,2024-06-04,Male,19,Train for an event,Online,Strength Training,Beginner
349,2024-06-17,Male,26,Reduce stress,Online,Gym,Advanced
350,2024-10-13,Male,31,Get back in shape,Referral,Gym,Beginner
351,2024-05-09,Male,37,Increase strength,Referral,Kickboxing,Beginner
352,2024-12-28,Female,48,Lose weight,Corporate,Rock Climbing,Beginner
353,2025-11-19,Female,42,Lose weight,Online,Zumba,Beginner
354,2025-07-26,Male,32,Increase strength,Online,Kickboxing,Beginner
355,2025-04-29,Female,33,Lose weight,In-person,CrossFit,Advanced
356,2024-11-08,Female,23,Get back in shape,Online,Strength Training,Beginner
357,2025-04-05,Male,33,Boost energy,In-person,Zumba,Beginner
358,2024-11-12,Female,31,Improve flexibility,In-person,CrossFit,Beginner
359,2025-03-30,Male,37,Lose weight,Referral,Yoga,Intermediate
360,2025-02-21,Female,25,Boost energy,In-person,Martial Arts,Beginner
361,2024-04-27,Male,39,Improve endurance,Online,CrossFit,Beginner
362,2024-05-25,Female,49,Reduce stress,Social media,Strength Training,Beginner
363,2025-10-09,Female,32,Build muscle,Promo event,Kickboxing,Beginner
364,2025-12-25,Male,38,Reduce stress,Online,Cycling Studio,Beginner
365,2025-10-26,Non-Binary,40,Boost energy,Unspecified,Barre,Intermediate
366,2024-10-14,Female,29,Boost energy,Referral,Gym,Intermediate
367,2024-07-17,Male,36,Boost energy,Referral,Bootcamp,Intermediate
368,2025-07-27,Male,34,Get back in shape,In-person,Pilates,Intermediate
369,2024-11-19,Female,34,Lose weight,Online,Gym,Intermediate
370,2024-12-08,Male,26,Get back in shape,Online,Spin,Advanced
371,2025-12-11,Female,34,Lose weight,In-person,Swimming,Beginner
372,2025-03-14,Female,38,Get back in shape,Referral,Yoga,Advanced
373,2025-03-31,Female,48,Build muscle,In-person,Gym,Beginner
374,2024-08-31,Female,43,Increase strength,Promo event,Functional Training,Beginner
375,2024-06-15,Female,,Lose weight,Unspecified,Swimming,Beginner
376,2025-01-01,Female,26,Lose weight,In-person,Kickboxing,Beginner
377,2025-11-24,Male,42,Lose weight,Referral,Barre,Beginner
378,2025-06-29,Male,35,Reduce stress,Online,HIIT,Advanced
379,2024-03-24,Male,55,Improve mobility,Corporate,HIIT,Beginner
380,2025-10-27,Male,25,Lose weight,Online,Gym,Intermediate
381,2025-03-12,Male,25,Reduce stress,Online,Yoga,Beginner
382,2025-07-13,Female,28,Build muscle,Online,Yoga,Beginner
383,2025-08-16,Male,16,Train for an event,In-person,Bootcamp,Advanced
384,2025-12-15,Male,28,Reduce stress,Online,Functional Training,Beginner
385,2025-08-04,Male,26,Improve mobility,Social media,Gym,Advanced
386,2024-04-05,Female,35,Build muscle,Referral,Gym,Intermediate
387,2024-04-23,Female,37,Lose weight,Online,Zumba,Beginner
388,2025-04-01,Female,52,Lose weight,Online,Strength Training,Beginner
389,2024-09-12,Female,43,Build muscle,Referral,Pilates,Beginner
390,2025-02-25,Non-Binary,28,Improve overall health,Referral,Rowing Studio,Beginner
391,2024-01-11,Male,25,Build muscle,Referral,Gym,Intermediate
392,2024-06-21,Female,38,Lose weight,Corporate,Bootcamp,Beginner
393,2024-01-05,Male,20,Lose weight,Online,Gym,Beginner
394,2024-04-20,Female,52,Improve mobility,Online,HIIT,Intermediate
395,2024-03-09,Non-Binary,45,Get back in shape,Online,Zumba,Beginner
396,2025-12-05,Female,29,Improve endurance,Promo event,Spin,Beginner
397,2024-03-02,Female,16,Lose weight,Online,Gym,Beginner
